iter	Passed	Remaining
0	109	109290
1	110	55111
2	111	37108
3	113	28187
4	114	22743
5	115	19100
6	116	16470
7	117	14533
8	118	13068
9	119	11840
10	120	10830
11	121	9983
12	122	9265
13	123	8724
14	125	8213
15	125	7744
16	126	7330
17	127	6961
18	128	6638
19	129	6366
20	131	6123
21	132	5874
22	132	5648
23	133	5440
24	134	5253
25	136	5101
26	137	4944
27	138	4793
28	138	4648
29	139	4516
30	140	4398
31	142	4298
32	143	4191
33	143	4086
34	144	3991
35	145	3906
36	147	3838
37	148	3771
38	150	3696
39	151	3629
40	152	3573
41	153	3511
42	154	3448
43	155	3382
44	156	3324
45	157	3274
46	158	3223
47	160	3174
48	161	3127
49	162	3079
50	163	3035
51	164	3002
52	166	2966
53	167	2928
54	168	2887
55	168	2848
56	169	2810
57	171	2790
58	173	2763
59	174	2729
60	175	2698
61	176	2666
62	177	2641
63	178	2616
64	179	2588
65	180	2559
66	181	2533
67	183	2511
68	184	2489
69	185	2464
70	186	2439
71	187	2414
72	188	2390
73	189	2372
74	191	2358
75	192	2335
76	193	2314
77	193	2292
78	195	2273
79	196	2258
80	197	2241
81	198	2224
82	199	2200
83	200	2182
84	201	2167
85	202	2152
86	203	2138
87	204	2121
88	205	2104
89	206	2086
90	207	2068
91	208	2055
92	209	2042
93	210	2028
94	211	2011
95	211	1995
96	212	1980
97	213	1964
98	214	1954
99	215	1943
100	216	1930
101	217	1915
102	218	1901
103	219	1887
104	220	1875
105	221	1866
106	222	1856
107	223	1844
108	224	1831
109	224	1818
110	225	1806
111	226	1795
112	227	1787
113	228	1777
114	229	1766
115	230	1755
116	230	1742
117	231	1731
118	232	1720
119	233	1713
120	234	1705
121	235	1694
122	236	1684
123	236	1674
124	237	1664
125	238	1655
126	240	1651
127	241	1644
128	242	1636
129	243	1627
130	243	1617
131	244	1608
132	245	1603
133	247	1598
134	248	1590
135	248	1581
136	249	1573
137	250	1564
138	251	1555
139	252	1550
140	253	1543
141	253	1533
142	254	1525
143	255	1517
144	255	1509
145	256	1501
146	257	1493
147	258	1487
148	259	1481
149	260	1473
150	260	1466
151	261	1459
152	262	1451
153	262	1444
154	263	1437
155	264	1431
156	265	1425
157	266	1418
158	266	1411
159	267	1404
160	268	1396
161	268	1390
162	269	1383
163	270	1377
164	270	1371
165	271	1365
166	272	1358
167	273	1352
168	273	1346
169	274	1340
170	275	1334
171	276	1328
172	276	1324
173	278	1320
174	279	1315
175	279	1310
176	280	1306
177	281	1300
178	282	1297
179	283	1293
180	284	1288
181	285	1283
182	286	1279
183	287	1274
184	288	1269
185	289	1264
186	290	1262
187	291	1258
188	292	1253
189	292	1248
190	293	1245
191	294	1240
192	295	1237
193	297	1235
194	298	1231
195	299	1226
196	299	1222
197	300	1218
198	301	1213
199	302	1210
200	303	1207
201	304	1203
202	305	1198
203	306	1194
204	306	1190
